field,entity_level,type,unit,requiredness,nullable,allowed_vocabulary,definition,example,provenance_authority,schema_version
pocket_id,pocket or explicit zero-pocket system record,integer,unitless_or_not_applicable,conditional,True,,Pocket identifier within a system; empty only for an explicit zero-pocket system row.,0,per-system pockets_gpcrdb.json,1.0
pocket_record_reason,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Explanation for the pocket-record status when needed.,valid API pocket record with n_pockets=0 and an empty pockets array,per-system pockets_gpcrdb.json,1.0
pocket_record_status,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,required,False,available_detected_pocket|available_zero_pockets,Distinguishes a detected-pocket row from a valid zero-pocket system record.,available_detected_pocket,per-system pockets_gpcrdb.json,1.0
provenance_authority,dictionary field,string,unitless_or_not_applicable,required,False,,Source or computation authoritative for the field.,dictionary metadata,generated package schema audit,1.0
qc_category,system readiness/QC summary,string,unitless_or_not_applicable,required,False,,Reader-facing readiness/QC category.,release-ready trajectory set,readiness/QC evidence overlay,1.0
qc_scope,system/replica selection record,string,unitless_or_not_applicable,required,False,,Interpretation limit of the selected-replica ledger.,release-readiness selection; frozen per-file archival QC pending manifest freeze,included-cohort replica-selection rule,1.0
readiness_action,release-boundary system / system readiness/QC summary,string,unitless_or_not_applicable,conditional,True,,Action recorded by the readiness evidence overlay.,BASELINE_RETAINED,readiness overlay and release decision; readiness/QC evidence overlay,1.0
readiness_status,system readiness/QC summary,string,unitless_or_not_applicable,required,False,,Current readiness status after evidence overlay.,READY,readiness/QC evidence overlay,1.0
receptor_gene,system,string,unitless_or_not_applicable,conditional,True,,Mapped receptor gene symbol; nullable with the receptor accession.,ADGRL3,"included cohort, systems_master.csv and per-system index.json",1.0
receptor_generic_numbers,pocket or explicit zero-pocket system record,semicolon_delimited_string,unitless_or_not_applicable,conditional,True,,Semicolon-delimited GPCRdb generic positions mapped to the pocket.,1.61x61;2.46x46;2.47x47;2.50x50;3.50x50;3.53x53;3.54x54;3.56x56;3.57x57;4.41x42;4.42x43;4.45x46;6.45x45;7.57x57;8.47x47,per-system pockets_gpcrdb.json,1.0
receptor_name,system / release-boundary system / pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Curated receptor name retained independently of accession mapping.,Adhesion G protein-coupled receptor L3,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision; per-system pockets_gpcrdb.json",1.0
receptor_uniprot,system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Mapped receptor UniProt accession; empty when no canonical mapping is available.,Q9HAR2,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision",1.0
record_scope,system source-inventory record,string,unitless_or_not_applicable,required,False,,Explicit interpretation limit for the source-inventory row.,source-inventory evidence; not a deposited file-level manifest,systems_master.csv paths and source filesystem audit,1.0
record_type,system source-inventory record / record-type coverage summary,string,unitless_or_not_applicable,required,False,,Record category; its vocabulary is defined by the containing Supplementary Data table.,production_trajectory,systems_master.csv paths and source filesystem audit; current server filesystem and JSON-content audit,1.0
records_available,record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of records satisfying the stated current-content availability semantics.,207,current server filesystem and JSON-content audit,1.0
records_missing,record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of expected current server files missing or empty.,0,current server filesystem and JSON-content audit,1.0
records_not_applicable,record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of systems for which the record type is explicitly not applicable.,0,current server filesystem and JSON-content audit,1.0
records_unpopulated,record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of present current server files failing content-population validation.,0,current server filesystem and JSON-content audit,1.0
release_replicas,system source-inventory record,string,unitless_or_not_applicable,required,False,,Selected replica identifiers represented by the aggregate source evidence row.,rep1|rep2|rep3,systems_master.csv paths and source filesystem audit,1.0
release_selection_status,system/replica selection record,string,unitless_or_not_applicable,required,False,selected_validated,Release-selection status of the replica.,selected_validated,included-cohort replica-selection rule,1.0
release_status,release-boundary system,string,unitless_or_not_applicable,required,False,unresolved|excluded,Release-boundary status for an unresolved or excluded record.,unresolved,readiness overlay and release decision,1.0
replica_1,system/interface/metric gateway record,number,metric-dependent,required,False,,Gateway summary for selected replica 1.,6.06,per-system gateways.json,1.0
replica_2,system/interface/metric gateway record,number,metric-dependent,required,False,,Gateway summary for selected replica 2.,5.725,per-system gateways.json,1.0
replica_3,system/interface/metric gateway record,number,metric-dependent,required,False,,Gateway summary for selected replica 3.,6.12,per-system gateways.json,1.0
replica_id,system/replica selection record,integer,unitless_or_not_applicable,required,False,,Selected production-replica identifier within a system.,1,included-cohort replica-selection rule,1.0
replicas_n,system source-inventory record,integer,unitless_or_not_applicable,required,False,,Number of selected replicas represented by the source evidence row.,3,systems_master.csv paths and source filesystem audit,1.0
repository_relative_path,code or build-environment inventory item,string,unitless_or_not_applicable,conditional,True,,Path relative to the CoupledMD server repository; nullable for runtime dependency rows.,manuscript_figures/scidata_figures/prepare_supplementary_data.py,repository files and current package-build runtime,1.0
requiredness,dictionary field,string,unitless_or_not_applicable,required,False,,Whether every record requires a value or the field is conditional.,dictionary metadata,generated package schema audit,1.0
rerun_status,release-boundary system,string,unitless_or_not_applicable,conditional,True,,Recorded rerun/recovery status for a release-boundary exception.,HOLD,readiness overlay and release decision,1.0
role,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,Role of the code or environment item in the current build/server.,Supplementary Data package builder and validator,repository files and current package-build runtime,1.0
schema_location,record-type coverage summary,string,unitless_or_not_applicable,required,False,,Location of the current API schema; not a DOI archive locator.,https://www.coupledmd.cn/api/openapi.json,current server filesystem and JSON-content audit,1.0
schema_version,code or build-environment inventory item / dictionary field / pocket or explicit zero-pocket system record / system/interface/metric gateway record / record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Schema identifier for the serialized record.,1.0,repository files and current package-build runtime; generated package schema audit; per-system pockets_gpcrdb.json; per-system gateways.json; current server filesystem and JSON-content audit,1.0
scope_note,record-type coverage summary,string,unitless_or_not_applicable,required,False,,Interpretation limit separating current server coverage from archive deposition.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,current server filesystem and JSON-content audit,1.0
sha256,code or build-environment inventory item,sha256_hex_string,unitless_or_not_applicable,conditional,True,,SHA-256 of a repository file; not applicable to runtime dependency rows.,a1ef9fbf6557d8cd1ce72709c25acb5770efcd595c2ed899be3bf12c1b568714,repository files and current package-build runtime,1.0
size_bytes,code or build-environment inventory item,integer,byte,conditional,True,,Current byte size for a repository file; not applicable to runtime dependency rows.,42770,repository files and current package-build runtime,1.0
size_bytes_at_audit,system source-inventory record,integer,byte,required,False,,Source-file size observed during the audit.,1698280828,systems_master.csv paths and source filesystem audit,1.0
software_version,code or build-environment inventory item,string,unitless_or_not_applicable,conditional,True,,Available package version in the current build environment.,1.26.4,repository files and current package-build runtime,1.0
source_exists_at_audit,system source-inventory record,boolean,unitless_or_not_applicable,required,False,,Whether the source file existed and was non-empty at the source audit.,True,systems_master.csv paths and source filesystem audit,1.0
source_filename,system source-inventory record,string,unitless_or_not_applicable,required,False,,Basename of the audited source file; no absolute path is published.,traj1.nc,systems_master.csv paths and source filesystem audit,1.0
source_parent,system source-inventory record,string,unitless_or_not_applicable,required,False,,Immediate source-directory name retained as a limited evidence locator.,7SF7,systems_master.csv paths and source filesystem audit,1.0
structural_provenance,system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Release label describing experimental or engineered structural provenance.,experimental,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision",1.0
system_id,system / release-boundary system / system source-inventory record / pocket or explicit zero-pocket system record / system/interface/metric gateway record / system/replica selection record / system readiness/QC summary,string,unitless_or_not_applicable,required,False,,Release system identifier combining G-protein-family prefix and source-structure identifier.,G12_7SF7,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision; systems_master.csv paths and source filesystem audit; per-system pockets_gpcrdb.json; per-system gateways.json; included-cohort replica-selection rule; readiness/QC evidence overlay",1.0
system_total_sampling_ns,system/replica selection record,integer,ns,required,False,,Total selected sampling for the replica's system.,1500,included-cohort replica-selection rule,1.0
three_good_ready,system readiness/QC summary,boolean,unitless_or_not_applicable,required,False,,Whether readiness evidence supports three selected good replicas.,True,readiness/QC evidence overlay,1.0
timestamp_reset_interpretation,system readiness/QC summary,string,unitless_or_not_applicable,required,False,diagnostic_only_not_failure,States that timestamp resets are diagnostic rather than automatic failures.,diagnostic_only_not_failure,readiness/QC evidence overlay,1.0
topo_exists,system,boolean,unitless_or_not_applicable,required,False,,Whether a topology source was present at the metadata audit.,True,"included cohort, systems_master.csv and per-system index.json",1.0
topo_sha256,system,sha256_hex_string,unitless_or_not_applicable,conditional,True,,Topology SHA-256; intentionally empty until archive manifest freeze.,,"included cohort, systems_master.csv and per-system index.json",1.0
total_sampling_ns,system / release-boundary system / system source-inventory record,integer,ns,conditional,True,,Total selected production sampling represented by the system or source record.,1500.0,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision; systems_master.csv paths and source filesystem audit",1.0
total_size_bytes,record-type coverage summary,integer,byte,required,False,,Aggregate byte size of present current server files for the record type.,285941043,current server filesystem and JSON-content audit,1.0
traj_exists,system,boolean,unitless_or_not_applicable,required,False,,Whether a trajectory source was present at the metadata audit.,True,"included cohort, systems_master.csv and per-system index.json",1.0
traj_sha256,system,sha256_hex_string,unitless_or_not_applicable,conditional,True,,Trajectory SHA-256; intentionally empty until archive manifest freeze.,,"included cohort, systems_master.csv and per-system index.json",1.0
trajectory_type,system,string,unitless_or_not_applicable,required,False,,Trajectory content/type label in included-system metadata.,membrane_embedded,"included cohort, systems_master.csv and per-system index.json",1.0
type,dictionary field,string,unitless_or_not_applicable,required,False,,Serialized logical data type.,dictionary metadata,generated package schema audit,1.0
unit,dictionary field / system/interface/metric gateway record,string,unitless_or_not_applicable,required,False,,"Measurement unit, or unitless/NA where applicable.",lipid_heavy_atoms_per_frame,generated package schema audit; per-system gateways.json,1.0
version_authority,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,How the reported current build version was obtained; never used as simulation-engine provenance.,sys.version in the package-build environment,repository files and current package-build runtime,1.0
zone_public_label,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Reader-facing anatomical-zone label derived from the stored pocket zone.,intracellular/transducer interface,per-system pockets_gpcrdb.json,1.0
